timestamp,open,high,low,close,volume
2023-01-01 00:00:00,100.0113,100.0353,99.9518,100.0248,8019
2023-01-01 00:01:00,100.0118,100.0264,99.9802,100.0179,9318
2023-01-01 00:02:00,100.0384,100.0784,100.0207,100.0503,4201
2023-01-01 00:03:00,100.1287,100.1461,100.122,100.1265,7671
2023-01-01 00:04:00,100.1387,100.1834,100.084,100.1148,2760
2023-01-01 00:05:00,100.0876,100.1227,100.0668,100.103,6058
2023-01-01 00:06:00,100.202,100.262,100.1466,100.182,3849
2023-01-01 00:07:00,100.2047,100.2671,100.1936,100.2204,8967
2023-01-01 00:08:00,100.18,100.2038,100.1777,100.1969,8809
2023-01-01 00:09:00,100.2404,100.3054,100.2162,100.224,4579
2023-01-01 00:10:00,100.2193,100.2434,100.1928,100.2009,7205
2023-01-01 00:11:00,100.1946,100.208,100.1259,100.1776,6733
2023-01-01 00:12:00,100.1634,100.2073,100.1288,100.1897,6794
2023-01-01 00:13:00,100.0847,100.1254,100.0726,100.094,5494
2023-01-01 00:14:00,100.0242,100.0399,99.915,100.0078,4803
2023-01-01 00:15:00,99.9805,99.9826,99.9604,99.9796,8453
2023-01-01 00:16:00,99.9075,99.9692,99.8664,99.929,700
2023-01-01 00:17:00,99.9539,99.9994,99.9241,99.9447,9851
2023-01-01 00:18:00,99.885,99.9281,99.8671,99.8993,8956
2023-01-01 00:19:00,99.8646,99.9192,99.8124,99.8287,5057
2023-01-01 00:20:00,99.9329,99.9993,99.872,99.902,6273
2023-01-01 00:21:00,99.9028,99.9089,99.8684,99.8907,4676
2023-01-01 00:22:00,99.9213,99.9258,99.8848,99.8941,4416
2023-01-01 00:23:00,99.8241,99.8342,99.8102,99.8228,7833
2023-01-01 00:24:00,99.8109,99.839,99.7627,99.7956,6363
2023-01-01 00:25:00,99.8307,99.872,99.7942,99.8012,6112
2023-01-01 00:26:00,99.7485,99.8047,99.7123,99.7436,8040
2023-01-01 00:27:00,99.7573,99.7892,99.6856,99.7624,6757
2023-01-01 00:28:00,99.6983,99.7348,99.6953,99.7324,1490
2023-01-01 00:29:00,99.7161,99.7313,99.6688,99.7178,7347
2023-01-01 00:30:00,99.7042,99.7168,99.6869,99.6877,7626
2023-01-01 00:31:00,99.7992,99.8348,99.7589,99.7803,4386
2023-01-01 00:32:00,99.7897,99.8291,99.7275,99.7796,2057
2023-01-01 00:33:00,99.7159,99.7407,99.6878,99.7267,9951
2023-01-01 00:34:00,99.7283,99.7897,99.7126,99.7679,3188
2023-01-01 00:35:00,99.6969,99.7111,99.6941,99.7068,5289
2023-01-01 00:36:00,99.7112,99.7441,99.682,99.7173,1927
2023-01-01 00:37:00,99.613,99.6237,99.5837,99.6193,9408
2023-01-01 00:38:00,99.5653,99.6018,99.5508,99.5529,2105
2023-01-01 00:39:00,99.6024,99.6481,99.5591,99.5627,1261
2023-01-01 00:40:00,99.6021,99.6126,99.581,99.5996,6690
2023-01-01 00:41:00,99.6039,99.6104,99.6017,99.6082,267
2023-01-01 00:42:00,99.5973,99.6826,99.5727,99.6024,8580
2023-01-01 00:43:00,99.5899,99.6224,99.5855,99.5874,1137
2023-01-01 00:44:00,99.4969,99.5379,99.4712,99.5135,6298
2023-01-01 00:45:00,99.4799,99.5083,99.4742,99.4775,4923
2023-01-01 00:46:00,99.4634,99.4847,99.4245,99.4544,7628
2023-01-01 00:47:00,99.5115,99.536,99.472,99.5073,4073
